Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d1_y_test,d1_y_proba,d3_y_test,d3_y_proba,d4_y_test,d4_y_proba
76,False,0.4115540600233061,False,0.5437583267830445,False,0.5184549827975646,False,0.3720628117807437,False,0.32129777843097995,False,0.3102385409110235
77,False,0.40601409643941516,False,0.6017766528762847,False,0.5393480106010706,False,0.3575812678359071,False,0.32129777843097995,False,0.3102385409110235
78,False,0.3371878068651656,False,0.4703662858595573,False,0.4038044755689669,False,0.3575812678359071,False,0.32129777843097995,False,0.3102385409110235
79,False,0.6492977152497068,False,0.6682323114133155,False,0.5038112415944246,False,0.7125085001430105,False,0.8123626801380132,False,0.8309170249479763
80,False,0.4565320810137073,False,0.36529809942173835,False,0.5069950493381997,False,0.3720628117807437,False,0.32129777843097995,False,0.3102385409110235
81,False,0.37844856904188906,False,0.6414834456603158,False,0.35942442103495076,False,0.3575812678359071,False,0.32129777843097995,False,0.3102385409110235
82,False,0.7474462954717779,False,0.7509230412537612,False,0.6657147899732182,False,0.3575812678359071,False,0.7548505269178114,False,0.7427644995135684
83,False,0.2956856127220442,False,0.4882198751534678,False,0.31558851171978874,False,0.3720628117807437,False,0.5017872813080432,False,0.3706634127859564
84,False,0.5523304960215168,False,0.5240482364593192,False,0.5134385994600265,False,0.3720628117807437,False,0.49821303806450734,False,0.45702755063323225
85,False,0.4947814001676918,False,0.515717667042164,False,0.4709853094056507,False,0.3575812678359071,False,0.49821303806450734,False,0.45702755063323225
86,False,0.34896126991457466,False,0.4555417927405021,False,0.2833881548823485,False,0.3720628117807437,False,0.32129777843097995,False,0.3102385409110235
87,False,0.530838677555037,False,0.4504186179228643,False,0.6302897642816182,False,0.5770028615691095,False,0.5208429752631208,False,0.6312857208334288
88,False,0.5745486059622591,False,0.4906498887406291,False,0.5258644431493118,False,0.5770028615691095,False,0.5809893197758325,False,0.6312857208334288
89,False,0.5236174479442322,False,0.33957412077692956,False,0.5457373416403903,False,0.3575812678359071,False,0.5050003411217675,False,0.5059861817939655
90,False,0.3522568485376166,False,0.48696165537765634,False,0.4236318624774686,False,0.3575812678359071,False,0.32129777843097995,False,0.3102385409110235
91,False,0.4570239504065628,False,0.4831903063404196,False,0.47679184515235823,False,0.5770028615691095,False,0.5770796515865179,False,0.5375836684685869
92,False,0.6706352359441563,False,0.5243143122654612,False,0.6441604306621,False,0.5770028615691095,False,0.5208429752631207,False,0.6499851691109008
93,False,0.2972906039609322,False,0.45827485717058764,False,0.42787491246425197,False,0.3720628117807437,False,0.32129777843097995,False,0.31023854091102343
94,False,0.2972906039609322,False,0.4441398278758717,False,0.3521659024162804,False,0.3575812678359071,False,0.37105256049625823,False,0.31023854091102343
95,False,0.6865772613294511,False,0.49102629963993244,False,0.5317822322931485,False,0.7672280993699482,False,0.7107494029063633,False,0.651460968459929
96,False,0.2956856127220442,False,0.5943160793801107,False,0.4602057320150468,False,0.3575812678359071,False,0.32129777843097995,False,0.31023854091102343
97,False,0.3371878068651656,False,0.5321837550134899,False,0.3640605649481235,False,0.3720628117807438,False,0.32129777843097995,False,0.31023854091102343
98,False,0.5197195665240227,False,0.4760064467279117,False,0.44022792884481293,False,0.3575812678359071,False,0.32129777843097995,False,0.31023854091102343
99,False,0.7041992213893496,False,0.5315337666619299,False,0.5975207855364078,False,0.7371046964903138,False,0.6604111957753128,False,0.5987328495195262
