Fold,d10_y_test,d10_y_proba,d15_y_test,d15_y_proba,d30_y_test,d30_y_proba,d1_y_test,d1_y_proba,d3_y_test,d3_y_proba,d4_y_test,d4_y_proba
24,True,0.5367605175050357,True,0.6308085638569505,True,0.624894070325264,True,0.5913388930104688,True,0.6807478843147824,True,0.6476917395711956
25,True,0.4827548742771834,True,0.4398787233138586,True,0.4333039692574842,True,0.42016763096922,True,0.3887603872441591,True,0.5221216828174852
26,True,0.4730878470920631,True,0.4398787233138586,True,0.4342028742272967,True,0.4712753068311409,True,0.48781446194963374,True,0.49032750160611627
27,True,0.537345875590962,True,0.6308085638569505,True,0.49159599866520004,True,0.4712753068311409,True,0.39389937013379067,True,0.5277541982964685
28,True,0.7956336509113953,True,0.6793723806049276,True,0.7238950479531978,True,0.6951834095359025,True,0.7925051352749005,True,0.7748591937318505
29,True,0.6438083971661078,True,0.6765387587243695,True,0.505003421598691,True,0.42016763096922,True,0.3887603872441591,True,0.38250833443827564
30,True,0.5762012581571839,True,0.6308085638569505,True,0.624894070325264,True,0.5913388930104688,True,0.6807478843147824,True,0.5446462121396582
31,True,0.5312331049042864,True,0.48159007909160445,True,0.45825812763100904,True,0.44238311099364225,True,0.530148173936748,True,0.49921963724612234
32,True,0.537345875590962,True,0.39602907583376906,True,0.3893215909846154,True,0.4712753068311409,True,0.4812336330513692,True,0.5756914944675751
33,True,0.3894331828690716,True,0.4398787233138586,True,0.4333039692574842,True,0.4712753068311409,True,0.3887603872441591,True,0.38250833443827564
34,True,0.4730878470920631,True,0.4398787233138586,True,0.49571529751852716,True,0.4564229355389248,True,0.5803558418893627,True,0.5399650037577421
35,True,0.4730878470920631,True,0.4398787233138586,True,0.4342028742272967,True,0.4712753068311409,True,0.48781446194963374,True,0.49032750160611627
36,True,0.4079455624639615,True,0.4398787233138586,True,0.4333039692574842,True,0.4564229355389248,True,0.3887603872441591,True,0.3825083344382757
37,True,0.5965550249347558,True,0.6308085638569505,True,0.624894070325264,True,0.4712753068311409,True,0.5803558418893627,True,0.6756429204686043
38,True,0.706675537067934,True,0.6805466425141912,True,0.5137867018056629,True,0.6951834095359025,True,0.6758128546791797,True,0.44056262757824394
39,True,0.2925466881335784,True,0.32526024931237435,True,0.42024017349500165,True,0.4126361539207959,True,0.5803558418893627,True,0.5076736996890887
40,True,0.7781854136597037,True,0.6765387587243695,True,0.6284843061756007,True,0.4564229355389248,True,0.5803558418893627,True,0.5399650037577421
41,True,0.4079455624639615,True,0.5527873394187252,True,0.4849460271277173,True,0.42016763096922,True,0.3887603872441591,True,0.3409903602110314
42,True,0.4697578850687598,True,0.6308085638569505,True,0.5659051465526829,True,0.5913388930104688,True,0.5382063000788406,True,0.5095408371403036
43,True,0.40747837435558465,True,0.5125831939919038,True,0.4362259403747935,True,0.4564229355389248,True,0.4351488095447389,True,0.42616564047325217
44,True,0.4730878470920631,True,0.6308085638569505,True,0.624894070325264,True,0.4712753068311409,True,0.5803558418893627,True,0.5399650037577421
45,True,0.49000899611062027,True,0.4398787233138586,True,0.4333039692574842,True,0.6951834095359025,True,0.6758128546791797,True,0.6817858391723502
46,True,0.4079455624639615,True,0.5527873394187252,True,0.4849460271277173,True,0.4564229355389248,True,0.3887603872441591,True,0.3825083344382757
47,True,0.531049367208821,True,0.6953887925091871,True,0.5921692821955664,True,0.4564229355389248,True,0.3887603872441591,True,0.5221216828174852
48,True,0.4580776828727127,True,0.5125831939919038,True,0.4368141321272515,True,0.4712753068311409,True,0.4812336330513692,True,0.43091952367302505
49,True,0.5072583213938838,True,0.5125831939919038,True,0.49649624133673975,True,0.4712753068311409,True,0.45030349646332885,True,0.41466171722790196
50,False,0.4237323959786636,False,0.3540001789070494,False,0.3460712458069669,False,0.48486152821383427,False,0.4062818990492899,False,0.4094655289768325
51,False,0.46629417651180577,False,0.4551655730137004,False,0.49745542770559775,False,0.48486152821383427,False,0.49416547391504634,False,0.4603375845779854
52,False,0.4237323959786636,False,0.4908998131576109,False,0.47547439049382667,False,0.48486152821383427,False,0.45335626066617024,False,0.4558825228565323
53,False,0.4237323959786636,False,0.648434383419311,False,0.6129369060985675,False,0.47848501833438495,False,0.4341908461888001,False,0.39821047902776585
54,False,0.2768263052715435,False,0.4692634372834203,False,0.48810873706095315,False,0.47033479407750706,False,0.4062818990492899,False,0.415827029755936
55,False,0.3113131358368537,False,0.31421468589530266,False,0.48854117113359,False,0.48486152821383427,False,0.4941654739150462,False,0.4603375845779854
56,False,0.616936988704159,False,0.5910417028256215,False,0.5879337664749525,False,0.6739766266517718,False,0.6235264211501667,False,0.5804718616243083
57,False,0.532509370843535,False,0.48540120606597925,False,0.649705137178605,False,0.48486152821383427,False,0.5981656429170833,False,0.5677385833789639
58,False,0.46629417651180577,False,0.45334148483793313,False,0.5062657218202345,False,0.48486152821383427,False,0.4941654739150462,False,0.4603375845779854
59,False,0.4237323959786636,False,0.4908998131576109,False,0.47547439049382667,False,0.48486152821383427,False,0.4062818990492899,False,0.4094655289768325
60,False,0.49484494995024414,False,0.5624483723289333,False,0.546910137974921,False,0.48486152821383427,False,0.4892962852143995,False,0.45740992917530304
